meters,price,bathrooms,category,link,municipality,operation,owner,rooms
232 m²,€ 265.000,1 baño,Casa pareada ,https://www.indomio.es/anuncios/94427353/,A Coruña,Venta,,4
99 m²,€ 225.000,1 baño,Piso,https://www.indomio.es/anuncios/95037299/,A Coruña,Venta,Urbeko Inmobiliaria,3
69 m²,€ 170.000,1 baño,Piso,https://www.indomio.es/anuncios/95115239/,A Coruña,Venta,Urbeko Inmobiliaria,4
173 m²,€ 820.000,2 baños,Piso,https://www.indomio.es/anuncios/95265751/,A Coruña,Venta,BRIGANTIA REAL ESTATE,5
120 m²,€ 425.000,,Piso,https://www.indomio.es/anuncios/95605007/,A Coruña,Venta,Fogar servicios inmobiliarios,
87 m²,€ 240.000,1 baño,Piso,https://www.indomio.es/anuncios/95553527/,A Coruña,Venta,Urbeko Inmobiliaria,4
102 m²,€ 272.500,2 baños,Piso,https://www.indomio.es/anuncios/95125619/,A Coruña,Venta,Proyectos Integrales Norte SL,4
172 m²,€ 640.000,2 baños,Piso,https://www.indomio.es/anuncios/95552661/,A Coruña,Venta,,6
40 m²,€ 160.000,1 baño,Piso ,https://www.indomio.es/anuncios/95983455/,A Coruña,Venta,INMOBILIARIA CENTRO,3
495 m²,€ 625.000,3+ baños,Casa adosada,https://www.indomio.es/anuncios/95233581/,A Coruña,Venta,Versalles Servicios Inmobiliarios,6
306 m²,€ 625.000,3+ baños,Casa unifamiliar,https://www.indomio.es/anuncios/95334391/,A Coruña,Venta,Medusa Properties,7
44 m²,€ 148.000,1 baño,Piso,https://www.indomio.es/anuncios/92430367/,A Coruña,Venta,Otero Ramos,2
65 m²,€ 55.000,,Chalet,https://www.indomio.es/anuncios/94286045/,A Coruña,Venta,,2
60 m²,€ 100.000,1 baño,Piso,https://www.indomio.es/anuncios/94645737/,A Coruña,Venta,Inmoforum,3
177 m²,€ 385.000,2 baños,Chalet,https://www.indomio.es/anuncios/95298721/,A Coruña,Venta,Expertia  Inmobiliaria,5
193 m²,€ 250.000,2 baños,Piso,https://www.indomio.es/anuncios/95432497/,A Coruña,Venta,Inmobiliaria Pardo,6
183 m²,€ 1.121.000,2 baños,Ático,https://www.indomio.es/anuncios/94271575/,A Coruña,Venta,,6
100 m²,€ 602.060,2 baños,Piso,https://www.indomio.es/anuncios/94904011/,A Coruña,Venta,ALTERNATIVA FINANCIERA,4
124 m²,€ 60.000,,Casa adosada,https://www.indomio.es/anuncios/90388685/,A Coruña,Venta,Inmobiliaria Pardo,
140 m²,€ 550.000,2 baños,Piso,https://www.indomio.es/anuncios/95940597/,A Coruña,Venta,INMOTK,4
103 m²,€ 351.000,2 baños,Piso,https://www.indomio.es/anuncios/95984201/,A Coruña,Venta,,4
86 m²,€ 603.000,2 baños,Piso,https://www.indomio.es/anuncios/94907277/,A Coruña,Venta,Centro Inmobiliaria A Coruña,4
214 m²,€ 77.000,1 baño,Casa unifamiliar,https://www.indomio.es/anuncios/95501113/,A Coruña,Venta,Inmobiliaria Pardo,4
64 m²,€ 140.000,,Piso,https://www.indomio.es/anuncios/95668301/,A Coruña,Venta,Atico Servicios Inmobiliarios,3
122 m²,€ 482.000,2 baños,Piso,https://www.indomio.es/anuncios/95984203/,A Coruña,Venta,,5
76 m²,€ 195.000,2 baños,Piso,https://www.indomio.es/anuncios/93750413/,A Coruña,Venta,BRIGANTIA REAL ESTATE,5
82 m²,€ 121.900,,Piso,https://www.indomio.es/anuncios/94353391/,A Coruña,Venta,Centro Inmobiliaria A Coruña,3
105 m²,€ 89.000,2 baños,Piso,https://www.indomio.es/anuncios/95240853/,A Coruña,Venta,Inmobiliaria Pardo,6
125 m²,€ 476.000,2 baños,Piso,https://www.indomio.es/anuncios/95984185/,A Coruña,Venta,,5
108 m²,€ 177.700,2 baños,Buhardilla ,https://www.indomio.es/anuncios/95832987/,A Coruña,Venta,INMOBILIARIA CENTRO,5
87 m²,€ 245.000,2 baños,Piso,https://www.indomio.es/anuncios/95829107/,A Coruña,Venta,Exp España,5
187 m²,€ 460.000,3 baños,Piso,https://www.indomio.es/anuncios/86185069/,A Coruña,Venta,Versalles Servicios Inmobiliarios,10
125 m²,€ 265.000,2 baños,Piso,https://www.indomio.es/anuncios/95604889/,A Coruña,Venta,Fogar servicios inmobiliarios,6
98 m²,€ 130.000,,Piso,https://www.indomio.es/anuncios/94814397/,A Coruña,Venta,Proyectos Integrales Norte SL,4
86 m²,€ 220.000,1 baño,Piso,https://www.indomio.es/anuncios/95736249/,A Coruña,Venta,,2
90 m²,€ 268.000,2 baños,Piso,https://www.indomio.es/anuncios/94439961/,A Coruña,Venta,Centro Inmobiliaria A Coruña,5
200 m²,€ 215.000,3 baños,Piso,https://www.indomio.es/anuncios/95050741/,A Coruña,Venta,,7
1.170 m²,€ 2.927.900,3+ baños,Edificio,https://www.indomio.es/anuncios/95445681/,A Coruña,Venta,Aliseda Inmobiliaria,2
148 m²,€ 457.500,2 baños,Piso,https://www.indomio.es/anuncios/95984197/,A Coruña,Venta,,5
171 m²,€ 650.000,2 baños,Piso,https://www.indomio.es/anuncios/95945321/,A Coruña,Venta,Versalles Servicios Inmobiliarios,7
442 m²,€ 150.000,3 baños,Chalet,https://www.indomio.es/anuncios/85070791/,A Coruña,Venta,Grupo Beiramar,7
140 m²,€ 78.000,1 baño,Chalet,https://www.indomio.es/anuncios/95508905/,A Coruña,Venta,,3
125 m²,€ 290.000,2 baños,Piso ,https://www.indomio.es/anuncios/94515257/,A Coruña,Venta,,7
81 m²,€ 222.000,1 baño,Piso,https://www.indomio.es/anuncios/94829993/,A Coruña,Venta,,2
94 m²,€ 185.000,1 baño,Piso,https://www.indomio.es/anuncios/95145961/,A Coruña,Venta,INMOTK,5
70 m²,€ 259.000,2 baños,Piso,https://www.indomio.es/anuncios/95444187/,A Coruña,Venta,Urbeko Inmobiliaria,4
