titulo,meters,price,bathrooms,category,link,municipality,operation,owner,rooms
"Piso de cuatro habitaciones octava planta, Nou Eixample, Tarragona",145 m²,€ 249.000,2 baños,Piso,https://www.indomio.es/anuncios/95548621/,Tarragona,Venta,Eivissatgn Assessoria Immobiliaria,7
"Piso de tres habitaciones Calle Jaume I, Barris Marítims, Tarragona",66 m²,€ 87.000,1 baño,Piso,https://www.indomio.es/anuncios/95746993/,Tarragona,Venta,Aliseda Inmobiliaria,4
"Piso de cuatro habitaciones Ponent 4, Torreforta-La Granja-Campclar, Tarragona",93 m²,€ 80.000,1 baño,Piso,https://www.indomio.es/anuncios/94392551/,Tarragona,Venta,Exp España,5
"Piso de tres habitaciones Calle De La Unio, Eixample, Tarragona",198 m²,€ 248.000,2 baños,Piso,https://www.indomio.es/anuncios/94648655/,Tarragona,Venta,Immo BC,5
"Piso de tres habitaciones Calle Vint-I-Un, Bonavista, Tarragona",78 m²,€ 124.000,desc,Piso,https://www.indomio.es/anuncios/95770527/,Tarragona,Venta,Immo BC,3
"Piso de dos habitaciones Calle Del Mar, Barris Marítims, Tarragona",91 m²,€ 175.000,2 baños,Piso,https://www.indomio.es/anuncios/94763565/,Tarragona,Venta,Immo BC,4
"Piso de tres habitaciones Calle Vuit, Bonavista, Tarragona",97 m²,€ 112.000,1 baño,Piso,https://www.indomio.es/anuncios/95959943/,Tarragona,Venta,HOME REALTY,4
Edificio en Venta,100 m²,€ 220.000,2 baños,Edificio ,https://www.indomio.es/anuncios/92661659/,Tarragona,Venta,Finques Mateu Valls,5
"Casa unifamiliar 7 habitaciones, Urbanitzacions de Llevant, Tarragona",470 m²,€ 525.000,3+ baños,Casa unifamiliar,https://www.indomio.es/anuncios/95210729/,Tarragona,Venta,Aliseda Inmobiliaria,8
"Piso de tres habitaciones Calle Partida Riu Clar, Torreforta-La Granja-Campclar, Tarragona",87 m²,€ 72.000,1 baño,Piso,https://www.indomio.es/anuncios/94963383/,Tarragona,Venta,Aliseda Inmobiliaria,4
"Piso de dos habitaciones Avenida Dels Països Catalans, Sant Pere i Sant Pau, Tarragona",82 m²,€ 220.000,2 baños,Piso,https://www.indomio.es/anuncios/95485435/,Tarragona,Venta,Immo BC,4
"Piso de tres habitaciones Calle Quatre, Bonavista, Tarragona",133 m²,€ 150.000,2 baños,Piso,https://www.indomio.es/anuncios/94530231/,Tarragona,Venta,Immo BC,5
"Piso de dos habitaciones Calle Manuel De Falla, Nou Eixample, Tarragona",77 m²,€ 173.000,desc,Piso,https://www.indomio.es/anuncios/95522451/,Tarragona,Venta,Immo BC,2
"Piso de cuatro habitaciones Rambla Nova, Eixample, Tarragona",160 m²,€ 390.000,2 baños,Piso,https://www.indomio.es/anuncios/95834439/,Tarragona,Venta,Arrabassada immobiliaria,6
Edificio en Venta,560 m²,€ 425.000,desc,Edificio,https://www.indomio.es/anuncios/92956807/,Tarragona,Venta,Fincas Eva,0
"Piso de dos habitaciones Avenida Roma, Nou Eixample, Tarragona",62 m²,€ 179.000,desc,Piso,https://www.indomio.es/anuncios/91774197/,Tarragona,Venta,GARRIDO IMMOBILIÀRIA,2
"Piso de una habitación Calle Gobernador Gonzalez, Eixample, Tarragona",92 m²,€ 92.800,1 baño,Piso,https://www.indomio.es/anuncios/94603865/,Tarragona,Venta,Aliseda Inmobiliaria,2
"Piso de tres habitaciones 95 m², Tarragona",95 m²,€ 195.000,2 baños,Piso,https://www.indomio.es/anuncios/95525823/,Tarragona,Venta,Inmotoday,5
"Piso de dos habitaciones buen estado, segunda planta, Sant Pere i Sant Pau, Tarragona",63 m²,€ 110.000,1 baño,Piso,https://www.indomio.es/anuncios/95805839/,Tarragona,Venta,Fincas Miramar,3
"Piso de una habitación séptima planta, Nou Eixample, Tarragona",111 m²,€ 171.000,2 baños,Piso ,https://www.indomio.es/anuncios/95441627/,Tarragona,Venta,Franquiciado Tecnocasa: ASSESSORIA CIUTAT DE TARRAGONA SLU,4
"Piso de cuatro habitaciones Carrertera De Valencia, Torreforta-La Granja-Campclar, Tarragona",99 m²,€ 127.500,desc,Piso,https://www.indomio.es/anuncios/95563853/,Tarragona,Venta,Immo BC,4
"Casa rústica, buen estado, 150 m², Urbanitzacions de Llevant, Tarragona",150 m² ,€ 320.000,2 baños,Casa rústica,https://www.indomio.es/anuncios/95064041/,Tarragona,Venta,Unic Propietats,5
"Piso de cuatro habitaciones 173 m², Part Alta, Tarragona",173 m²,€ 277.000,2 baños,Piso,https://www.indomio.es/anuncios/95105131/,Tarragona,Venta,Velstand Servicios inmobiliarios,6
"Piso de cuatro habitaciones Carrer de Florenci Vives 10, Part Alta, Tarragona",110 m² ,€ 179.000,2 baños,Piso ,https://www.indomio.es/anuncios/94384747/,Tarragona,Venta,,6
"Chalet Camino De Viladegats, Sant Pere i Sant Pau, Tarragona",114 m²,€ 175.000,desc,Chalet,https://www.indomio.es/anuncios/95562767/,Tarragona,Venta,Immobiliária Universitária Tgn,2
"Piso de tres habitaciones Calle Riu Besòs, Torreforta-La Granja-Campclar, Tarragona",99 m²,€ 149.500,2 baños,Piso,https://www.indomio.es/anuncios/95329387/,Tarragona,Venta,Immo BC,5
"Chalet Carrer Mirador, Urbanitzacions de Llevant, Tarragona",300 m²,€ 650.000,2 baños,Chalet,https://www.indomio.es/anuncios/95822125/,Tarragona,Venta,Casa Teva 2022,7
"Piso de cuatro habitaciones Urbanització Bloc 10 Riu Clar, Torreforta-La Granja-Campclar, Tarragona",75 m²,€ 74.889,desc,Piso,https://www.indomio.es/anuncios/95670487/,Tarragona,Venta,Finques Grup Mitod,4
"Piso de cuatro habitaciones 92 m², Torreforta-La Granja-Campclar, Tarragona",92 m²,€ 97.700,1 baño,Piso,https://www.indomio.es/anuncios/94773831/,Tarragona,Venta,Velstand Servicios inmobiliarios,5
"Piso de dos habitaciones Avenida Paisos Catalans, Sant Pere i Sant Pau, Tarragona",68 m²,€ 109.000,2 baños,Piso,https://www.indomio.es/anuncios/94462339/,Tarragona,Venta,VIVANTIAL,4
"Chalet 2 habitaciones, Part Alta, Tarragona",232 m²,€ 240.000,2 baños,Chalet,https://www.indomio.es/anuncios/95824511/,Tarragona,Venta,El Balcó Immobiliària,4
"Piso de dos habitaciones Calle De Mallorca, 17, Nou Eixample, Tarragona",68 m²,€ 164.500,desc,Piso,https://www.indomio.es/anuncios/95975783/,Tarragona,Venta,Finques Imperial,2
"Piso de una habitación Part Alta, Part Alta, Tarragona",65 m²,€ 107.000,desc,Piso,https://www.indomio.es/anuncios/92337505/,Tarragona,Venta,Immobiliária Universitária Tgn,1
"Piso de tres habitaciones de Roma, Nou Eixample, Tarragona",99 m²,€ 289.000,2 baños,Piso,https://www.indomio.es/anuncios/94851639/,Tarragona,Venta,Finques Villa Tarraco,5
"Piso de cuatro habitaciones buen estado, Part Alta, Tarragona",147 m²,€ 289.000,1 baño,Piso,https://www.indomio.es/anuncios/95940367/,Tarragona,Venta,CENTURY 21 Inmovip,5
"Piso de dos habitaciones Calle Baixada De La Peixateria, Part Alta, Tarragona",75 m²,€ 157.000,desc,Piso,https://www.indomio.es/anuncios/91774211/,Tarragona,Venta,GARRIDO IMMOBILIÀRIA,2
"Piso de tres habitaciones Francoli, Torreforta-La Granja-Campclar, Tarragona",59 m²,€ 79.000,1 baño,Piso,https://www.indomio.es/anuncios/95332851/,Tarragona,Venta,Fincas Eva,4
"Piso de tres habitaciones Rambla De Ponent, Torreforta-La Granja-Campclar, Tarragona",157 m²,€ 185.500,2 baños,Piso,https://www.indomio.es/anuncios/95819867/,Tarragona,Venta,Immo BC,5
"Piso de cuatro habitaciones Calle Del Cardenal Vidal I Barraquer, 12, Nou Eixample, Tarragona",125 m²,€ 270.000,2 baños,Piso,https://www.indomio.es/anuncios/95919025/,Tarragona,Venta,Immobiliária Universitária Tgn,6
"Piso de cuatro habitaciones Calle AUGUST, Eixample, Tarragona",125 m²,€ 270.000,2 baños,Piso,https://www.indomio.es/anuncios/95153035/,Tarragona,Venta,El Piset Immobiliaria,6
"Piso de una habitación de Méndez Núñez, Eixample, Tarragona",123 m²,€ 103.000,2 baños,Piso,https://www.indomio.es/anuncios/92795527/,Tarragona,Venta,Finques Villa Tarraco,3
"Piso de cuatro habitaciones Avenida Catalunya, 36, Nou Eixample, Tarragona",141 m²,€ 239.000,2 baños,Piso,https://www.indomio.es/anuncios/91868193/,Tarragona,Venta,Immobiliária Universitária Tgn,6
