meters,price,bathrooms,category,link,municipality,operation,owner,rooms
178 m²,€ 110.000,2 baños,Casa adosada,https://www.indomio.es/anuncios/95588655/,Albacete,Venta,Inmobiliaria La Noria,6
115 m²,€ 220.000,2 baños,Piso,https://www.indomio.es/anuncios/95629363/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,5
140 m²,€ 230.000,2 baños,Piso,https://www.indomio.es/anuncios/95768293/,Albacete,Venta,Global House Albacete,6
101 m²,€ 140.000,2 baños,Piso,https://www.indomio.es/anuncios/95894773/,Albacete,Venta,Inmobiliaria Tejares,5
164 m²,€ 161.500,1 baño,Piso ,https://www.indomio.es/anuncios/78744737/,Albacete,Venta,,1
75 m²,€ 142.000,1 baño,Piso,https://www.indomio.es/anuncios/95470009/,Albacete,Venta,Meraki,3
95 m²,€ 212.000,2 baños,Piso,https://www.indomio.es/anuncios/82207341/,Albacete,Venta,Inmobiliaria Tejares,5
562 m²,€ 265.000,2 baños,Casa rústica,https://www.indomio.es/anuncios/84342267/,Albacete,Venta,Inmobiliaria Tejares,6
225 m²,€ 336.000,3 baños,Casa adosada,https://www.indomio.es/anuncios/94856779/,Albacete,Venta,Meraki,7
108 m²,€ 110.000,1 baño,Piso,https://www.indomio.es/anuncios/90494619/,Albacete,Venta,InmoHouse,4
273 m²,€ 190.000,2 baños,Casa unifamiliar,https://www.indomio.es/anuncios/90514497/,Albacete,Venta,InmoHouse,5
84 m²,€ 163.000,,Piso,https://www.indomio.es/anuncios/90549281/,Albacete,Venta,Germán - gestión de inmuebles,2
95 m² ,€ 149.000,2 baños,Piso,https://www.indomio.es/anuncios/92628545/,Albacete,Venta,Topbrokers,5
100 m²,€ 199.000,2 baños,Piso,https://www.indomio.es/anuncios/92631015/,Albacete,Venta,Inmobiliaria La Mancha,4
65 m²,€ 65.000,1 baño,Piso ,https://www.indomio.es/anuncios/95147665/,Albacete,Venta,,4
48 m²,€ 62.000,1 baño,Piso,https://www.indomio.es/anuncios/94043479/,Albacete,Venta,InmoHouse,2
150 m²,€ 225.000,2 baños,Piso,https://www.indomio.es/anuncios/94072125/,Albacete,Venta,,6
114 m²,€ 207.000,2 baños,Piso,https://www.indomio.es/anuncios/94750719/,Albacete,Venta,Inmobiliaria La Mancha,5
97 m²,€ 150.000,1 baño,Piso,https://www.indomio.es/anuncios/94872465/,Albacete,Venta,InmoHouse,4
120 m²,€ 146.000,1 baño,Piso,https://www.indomio.es/anuncios/94943263/,Albacete,Venta,InmoHouse,5
175 m²,€ 348.000,2 baños,Piso,https://www.indomio.es/anuncios/95239881/,Albacete,Venta,Inmobiliaria Albacete E.T.I.,7
61 m²,€ 75.000,1 baño,Piso,https://www.indomio.es/anuncios/95238367/,Albacete,Venta,Inmobiliaria La Mancha,3
120 m²,€ 195.000,2 baños,Piso,https://www.indomio.es/anuncios/95306365/,Albacete,Venta,Ana Isabel Martinez Marchante,5
250 m² ,€ 125.000,2 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95690551/,Albacete,Venta,InmoHouse,6
90 m²,€ 170.000,2 baños,Piso,https://www.indomio.es/anuncios/95498745/,Albacete,Venta,InmoHouse,4
85 m²,€ 155.000,,Piso,https://www.indomio.es/anuncios/95629389/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,2
105 m²,€ 290.000,2 baños,Piso,https://www.indomio.es/anuncios/95629361/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,5
104 m²,€ 180.000,2 baños,Piso,https://www.indomio.es/anuncios/95629469/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,4
88 m²,€ 174.000,1 baño,Piso,https://www.indomio.es/anuncios/95862391/,Albacete,Venta,InmoHouse,3
340 m²,€ 350.000,3 baños,Casa adosada,https://www.indomio.es/anuncios/95945391/,Albacete,Venta,Inmobiliaria La Noria,7
145 m²,€ 195.000,2 baños,Piso,https://www.indomio.es/anuncios/95995563/,Albacete,Venta,Meraki,6
